IRC = 0
H -0.9037777028 -2.5978223942 0.8450540635
H -0.0182835969 -2.7461966201 -0.4319587263
H 3.4989992378 0.4626879837 0.2388474320
IRC = 3.779673
Fe -0.2458599930 0.0222715189 0.0273244548
O -1.3472968374 0.2204653107 1.8610283342
O 0.8040239561 -0.1411698423 -1.7977109076
O -0.3223989032 2.1393327415 -0.2132721766
O 1.7555685104 0.0061050439 0.9074384871
O -2.2343309324 0.0160280293 -0.9083149080
O -0.4750253003 -2.1070773554 0.1342016019
H -0.5477272654 2.7854488245 0.4713186683
H 0.1212268681 2.6182086390 -0.9279898252
H 0.5109148486 -0.2417271884 -2.7130774206
H 1.7716600117 -0.2136739856 -1.7594882371
H -1.0903015071 0.3500664004 2.7849177698
H -2.3144690243 0.2537704078 1.8259772426
H -2.6493159252 0.7890086285 -1.3155591480
H -2.6956145401 -0.7635696029 -1.2469871256
O 2.8267928535 -0.2175341685 -0.0393670583
H 1.9934987213 -0.5936958479 1.6371270562
H -0.9222912279 -2.6011501839 0.8361200930
H -0.0228205360 -2.7507931505 -0.4301151416
H 3.4773626794 0.4651372064 0.2126972941
IRC = 4.287537
Fe -0.2370753942 0.0217357832 0.0355320818
O -1.3491173517 0.2198428522 1.8559553883
O 0.8152096099 -0.1375484730 -1.7780340779
O -0.3293913870 2.1368991415 -0.2174247319
O 1.7246405679 0.0099937288 0.8773768960
O -2.2120400556 0.0149923727 -0.9008413374
O -0.4832071852 -2.1060985856 0.1301038905
H -0.5405918246 2.7857261723 0.4691273313
H 0.1159748404 2.6107383365 -0.9344072902
H 0.5318879154 -0.2369309893 -2.6964525842
H 1.7826281847 -0.2086113763 -1.7285031992
H -1.1027343620 0.3510235610 2.7824816337
H -2.3159659350 0.2503054548 1.8101984459
H -2.6284824516 0.7907552728 -1.3011430659
H -2.6660215482 -0.7635111915 -1.2515333186
O 2.8104578437 -0.2218868023 -0.0515146646
H 1.9584016260 -0.5739653368 1.6210627773
H -0.9316704315 -2.6014239551 0.8303978179
H -0.0215974412 -2.7486660984 -0.4278903616
H 3.4521860038 0.4705668092 0.1973767917
IRC = 4.783728
Fe -0.2280574929 0.0210777790 0.0417496885
O -1.3498101615 0.2190999617 1.8491158340
O 0.8202033444 -0.1352570575 -1.7578850168
O -0.3338748987 2.1318463801 -0.2203367835
O 1.6834017599 0.0164977019 0.8568703875
O -2.1958219901 0.0144736144 -0.8953174298
O -0.4886382054 -2.1020105175 0.1271796487
H -0.5263870361 2.7788153454 0.4735020084
H 0.1219866626 2.6023803067 -0.9329274757
H 0.5612659597 -0.2343819901 -2.6834092701
H 1.7874042780 -0.1951575622 -1.6835270716
H -1.0972839035 0.3506050319 2.7738838658
H -2.3169684163 0.2496887030 1.8095922910
H -2.6157814935 0.7919167212 -1.2884608278
H -2.6456309256 -0.7634144488 -1.2524748936
O 2.8075610693 -0.2272648440 -0.0676984286
H 1.9100655243 -0.5785999429 1.5940508943
H -0.9295486800 -2.6005559622 0.8300631944
H -0.0120564725 -2.7402148401 -0.4232933478
H 3.4295632870 0.4824768265 0.1853186476
IRC = 5.330120
Fe -0.2215783312 0.0206623652 0.0452339131
O -1.3506645436 0.2186211895 1.8443741103
O 0.8206719259 -0.1341723471 -1.7462421366
O -0.3362590325 2.1283846337 -0.2219303227
O 1.6310047743 0.0258261653 0.8655124120
O -2.1880398762 0.0143008804 -0.8927538248
O -0.4915775131 -2.0988767191 0.1255696818
H -0.5153446686 2.7722693918 0.4784685626
H 0.1301776459 2.5967208553 -0.9292255997
H 0.5870417689 -0.2340884259 -2.6783515190
H 1.7869068047 -0.1855879926 -1.6435617789
H -1.0847626573 0.3490750051 2.7655018711
H -2.3182438982 0.2507360153 1.8176970223
H -2.6106473229 0.7924270317 -1.2816946461
H -2.6362891488 -0.7637026778 -1.2516112493
O 2.8320318330 -0.2355045694 -0.0971572683
H 1.8770786295 -0.5908772181 1.5787749337
H -0.9237112810 -2.5999370426 0.8322185662
H -0.0017201063 -2.7324184513 -0.4187613785
H 3.4275441968 0.4930050229 0.1708651942
IRC = 5.831746
Fe -0.2170463946 0.0204341945 0.0473947849
O -1.3514246170 0.2183266168 1.8412700127
O 0.8203537956 -0.1335719251 -1.7393180477
O -0.3377456597 2.1262200759 -0.2228765801
O 1.5845366874 0.0337657252 0.8809267212
O -2.1837122764 0.0142111617 -0.8914211159
O -0.4933605042 -2.0968212668 0.1245553432
H -0.5078610604 2.7675881100 0.4822736251
H 0.1366008065 2.5926881239 -0.9263858725
H 0.6042341662 -0.2341499218 -2.6755408997
H 1.7861600673 -0.1803311643 -1.6114889478
H -1.0735703584 0.3476565326 2.7591303522
H -2.3192354128 0.2517030430 1.8250016859
H -2.6077789858 0.7929337585 -1.2779170984
H -2.6313196626 -0.7642717831 -1.2504219017
O 2.8595191424 -0.2427079165 -0.1250689143
H 1.8582298396 -0.5984451760 1.5698732499
H -0.9189391275 -2.5991844651 0.8344142904
H 0.0063155147 -2.7266751807 -0.4154357385
H 3.4357116651 0.4973664337 0.1547993072
IRC = 6.366722
Fe -0.2126396652 0.0202807069 0.0495283871
O -1.3523139859 0.2180604708 1.8382781407
O 0.8199679219 -0.1330534582 -1.7329532310
O -0.3392233885 2.1242708610 -0.2237479037
O 1.5355777815 0.0417586528 0.8990594315
O -2.1798129559 0.0140939791 -0.8903638382
O -0.4950471444 -2.0949325485 0.1235190119
H -0.5006238319 2.7629765625 0.4862491735
H 0.1431608598 2.5885441644 -0.9237187434
H 0.6186243408 -0.2342827884 -2.6724319219
H 1.7871509910 -0.1758614859 -1.5770640684
H -1.0611542198 0.3461361331 2.7524902745
H -2.3203416584 0.2526740306 1.8324533347
H -2.6048261408 0.7936865381 -1.2749795831
H -2.6270563068 -0.7652547302 -1.2489277838
O 2.8900375837 -0.2501526837 -0.1547941458
H 1.8425446877 -0.6033378062 1.5597694411
H -0.9141284859 -2.5979706483 0.8370808631
H 0.0145852083 -2.7210212489 -0.4121239750
H 3.4477452699 0.4992076152 0.1352633269
IRC = 6.719377
Fe -0.2098641844 0.0202421370 0.0510544310
O -1.3529965041 0.2178968118 1.8362851592
O 0.8198858233 -0.1327245343 -1.7286890844
O -0.3402838212 2.1230822085 -0.2243217888
O 1.5034491394 0.0468126451 0.9108722761
O -2.1772332846 0.0139635411 -0.8897987099
O -0.4961941207 -2.0937618408 0.1227562999
H -0.4959178408 2.7601308244 0.4889123054
H 0.1474985941 2.5857533166 -0.9221157291
H 0.6267684493 -0.2344777295 -2.6699889458
H 1.7889273347 -0.1731558553 -1.5537697834
H -1.0527327897 0.3451413635 2.7481498896
H -2.3212051519 0.2533366024 1.8372166231
H -2.6025714420 0.7942377419 -1.2735691128
H -2.6244016731 -0.7661216187 -1.2478384486
O 2.9104252714 -0.2550422651 -0.1744862421
H 1.8329009525 -0.6056431132 1.5531545646
H -0.9109460743 -2.5969776451 0.8390526423
H 0.0201377299 -2.7175021950 -0.4099135449
H 3.4560433214 0.5000338813 0.1214843015
IRC = 7.192346
Fe -0.2068211049 0.0204364779 0.0533955901
O -1.3544238550 0.2176759071 1.8332077930
O 0.8209763953 -0.1322096047 -1.7211107507
O -0.3422354116 2.1216401682 -0.2253204124
O 1.4614000597 0.0526696720 0.9266364152
O -2.1730385064 0.0135156453 -0.8892285953
O -0.4980590851 -2.0923096378 0.1212376361
H -0.4887344014 2.7557906384 0.4926684150
H 0.1531822764 2.5818227251 -0.9196651311
H 0.6369803865 -0.2353203753 -2.6642828672
H 1.7926030725 -0.1704998024 -1.5272804867
H -1.0407270971 0.3435499071 2.7409698833
H -2.3225654974 0.2546755872 1.8448273217
H -2.5981042510 0.7945962725 -1.2724514609
H -2.6209189477 -0.7670804088 -1.2461104596
O 2.9378501583 -0.2615100536 -0.2019701128
H 1.8214702279 -0.6039594180 1.5454464208
H -0.9059045462 -2.5945170413 0.8423961705
H 0.0274931272 -2.7132648955 -0.4059754221
H 3.4726022841 0.5001708863 0.0960145244
IRC = 7.665314
Fe -0.2037781019 0.0206308383 0.0557367456
O -1.3558511680 0.2174549349 1.8301304025
O 0.8220670289 -0.1316946848 -1.7135323932
O -0.3441869096 2.1201980658 -0.2263190098
O 1.4193510748 0.0585267046 0.9424006103
O -2.1688436980 0.0130677689 -0.8886585465
O -0.4999240578 -2.0908574109 0.1197190556
H -0.4815509255 2.7514503824 0.4964244733
H 0.1588659685 2.5778921046 -0.9172144808
H 0.6471924653 -0.2361630620 -2.6585768420
H 1.7962788658 -0.1678438399 -1.5007911726
H -1.0287214332 0.3419584202 2.7337898799
H -2.3239258310 0.2560145488 1.8524380434
H -2.5936370700 0.7949547647 -1.2713338654
H -2.6174362286 -0.7680392155 -1.2443823929
O 2.9652749886 -0.2679777819 -0.2294540739
H 1.8100394725 -0.6022757422 1.5377384421
H -0.9008629630 -2.5920565374 0.8457396829
H 0.0348485410 -2.7090277021 -0.4020373516
H 3.4891612301 0.5003078538 0.0705447015
IRC = 8.168359
Fe -0.2032309880 0.0213608890 0.0582157679
O -1.3590859034 0.2172952055 1.8264591594
O 0.8260485485 -0.1310329722 -1.7020499505
O -0.3476588547 2.1193909306 -0.2280881595
O 1.3813614848 0.0631616065 0.9628212210
O -2.1626305368 0.0119540041 -0.8888650916
O -0.5029574100 -2.0898286995 0.1169821204
H -0.4730192975 2.7465328643 0.5004467095
H 0.1637247544 2.5743047045 -0.9147017854
H 0.6554532451 -0.2384843773 -2.6476713733
H 1.8021975031 -0.1670690619 -1.4820495768
H -1.0163457055 0.3394928048 2.7246391318
H -2.3265613303 0.2587276581 1.8626961159
H -2.5870368060 0.7944942969 -1.2708767172
H -2.6135255989 -0.7693219070 -1.2415401754
O 2.9953378980 -0.2749406261 -0.2623240431
H 1.8070802434 -0.5922323287 1.5373590023
H -0.8939747403 -2.5878324231 0.8506201819
H 0.0421333628 -2.7058122778 -0.3965631730
H 3.5184198688 0.4970696518 0.0310588313
IRC = 8.670292
Fe -0.2045779787 0.0224623940 0.0612820406
O -1.3646857189 0.2173789423 1.8232823072
O 0.8317453243 -0.1302479919 -1.6891002999
O -0.3526222579 2.1195455617 -0.2304376155
O 1.3513962365 0.0669748372 0.9854415343
O -2.1552407001 0.0102040260 -0.8907387761
O -0.5073875685 -2.0894709329 0.1132939016
H -0.4660308238 2.7432182374 0.5031329930
H 0.1658981172 2.5713739261 -0.9137755240
H 0.6619742811 -0.2419390691 -2.6344547442
H 1.8096739308 -0.1669400319 -1.4666046087
H -1.0082399204 0.3365059141 2.7165867208
H -2.3314342225 0.2623753989 1.8720139817
H -2.5803054330 0.7927734065 -1.2720946602
H -2.6085852081 -0.7719272080 -1.2384984660
O 3.0260851775 -0.2821754423 -0.2978117767
H 1.8097209196 -0.5793005333 1.5439556554
H -0.8866912680 -2.5839261822 0.8555146476
H 0.0483999672 -2.7029186185 -0.3917800981
H 3.5566486020 0.4897125681 -0.0157638574
IRC = 9.175280
Fe -0.2068662372 0.0240075534 0.0660670465
O -1.3737113308 0.2178476798 1.8211613821
O 0.8382528837 -0.1292939237 -1.6758802107
O -0.3595168592 2.1207829859 -0.2332418746
O 1.3297859480 0.0698589294 1.0077066808
O -2.1468890460 0.0075392618 -0.8954412505
O -0.5136154174 -2.0897947236 0.1087284408
H -0.4630108126 2.7426973986 0.5033549392
H 0.1640022637 2.5692283265 -0.9149937990
H 0.6656782003 -0.2455431135 -2.6201825749
H 1.8177770297 -0.1671276865 -1.4564971090
H -1.0082937182 0.3336310612 2.7112856378
H -2.3397976385 0.2666225406 1.8779627281
H -2.5739336217 0.7891305318 -1.2765711204
H -2.6021370284 -0.7763642214 -1.2366589949
O 3.0577405445 -0.2898048679 -0.3349145832
H 1.8162423911 -0.5633839063 1.5564045607
H -0.8806687479 -2.5813407813 0.8590617062
H 0.0520625468 -2.7000601341 -0.3891461999
H 3.6061385841 0.4764441405 -0.0699325214
IRC = 9.676204
Fe -0.2087321453 0.0259552874 0.0731653388
O -1.3860201410 0.2187151618 1.8199806877
O 0.8434957025 -0.1280651311 -1.6642871266
O -0.3682380412 2.1226144893 -0.2359712377
O 1.3146377929 0.0718425556 1.0265520335
O -2.1380224916 0.0039217536 -0.9032556569
O -0.5213300569 -2.0902507707 0.1040143899
H -0.4659167838 2.7448775635 0.5011579289
H 0.1588057691 2.5676738113 -0.9171910321
H 0.6653053769 -0.2473234451 -2.6071532351
H 1.8243430214 -0.1674634540 -1.4524288516
H -1.0180869244 0.3314713086 2.7094555649
H -2.3518015756 0.2704129213 1.8784502618
H -2.5678141236 0.7835720771 -1.2851332667
H -2.5937508916 -0.7825246045 -1.2377941992
O 3.0901508474 -0.2979275376 -0.3710737425
H 1.8258452507 -0.5453349703 1.5702537538
H -0.8777015211 -2.5804727034 0.8603854108
H 0.0524661771 -2.6968590626 -0.3889593794
H 3.6640488952 0.4577516063 -0.1284955079
IRC = 10.176215
Fe -0.2099525505 0.0281598553 0.0818430394
O -1.4004100764 0.2198469548 1.8189062426
O 0.8465821053 -0.1264865111 -1.6551272584
O -0.3781900519 2.1244946135 -0.2380001341
O 1.3032249499 0.0732256561 1.0424905757
O -2.1287720666 -0.0003376861 -0.9132774226
O -0.5296580998 -2.0903594884 0.1000349751
H -0.4746988246 2.7481223923 0.4981445804
H 0.1528131406 2.5667713455 -0.9179105582
H 0.6606172057 -0.2465039470 -2.5963717217
H 1.8284003531 -0.1680444898 -1.4540881412
H -1.0347697599 0.3296005415 2.7096977419
H -2.3662347644 0.2731866067 1.8742499417
H -2.5613543486 0.7768113817 -1.2969037873
H -2.5836205069 -0.7896933150 -1.2419175745
O 3.1232386206 -0.3065231464 -0.4052159285
H 1.8391203087 -0.5257499948 1.5820644036
H -0.8774393406 -2.5801496179 0.8607079856
H 0.0506085911 -2.6935418294 -0.3894876229
H 3.7286188766 0.4337845706 -0.1913650422
IRC = 10.677980
Fe -0.2109290992 0.0304104529 0.0908737688
O -1.4155398727 0.2210917149 1.8174281577
O 0.8483182777 -0.1246409925 -1.6479183855
O -0.3885279083 2.1262799425 -0.2388966355
O 1.2928488078 0.0743868095 1.0574056074
O -2.1194135053 -0.0047251509 -0.9243261011
O -0.5376680387 -2.0901560196 0.0974334155
H -0.4877960549 2.7510214230 0.4959386278
H 0.1479581966 2.5668776648 -0.9155346701
H 0.6535005389 -0.2437076848 -2.5874729292
H 1.8307614061 -0.1687454645 -1.4593410542
H -1.0541584926 0.3274801314 2.7103597234
H -2.3815442569 0.2751377032 1.8677321751
H -2.5543646531 0.7697811522 -1.3103987806
H -2.5728898732 -0.7969655573 -1.2476576907
O 3.1566513661 -0.3152862199 -0.4377235974
H 1.8557365022 -0.5050698555 1.5901060178
H -0.8782899541 -2.5793862974 0.8617216429
H 0.0477772952 -2.6906244953 -0.3891636192
H 3.7990988969 0.4037902293 -0.2606243760
IRC = 11.178753
Fe -0.2120731044 0.0325086705 0.0993024801
O -1.4303045449 0.2223155883 1.8156032749
O 0.8497924530 -0.1227643166 -1.6420094480
O -0.3984353027 2.1280514221 -0.2386517885
O 1.2816371240 0.0755847194 1.0726447544
O -2.1104928692 -0.0087490568 -0.9354365022
O -0.5447400469 -2.0899359764 0.0963013647
H -0.5028499609 2.7529727199 0.4953099131
H 0.1448819057 2.5681686174 -0.9100748197
H 0.6460195817 -0.2397981293 -2.5799059778
H 1.8325477566 -0.1695096313 -1.4662062956
H -1.0729209195 0.3248304412 2.7105891587
H -2.3964569048 0.2767251755 1.8612006960
H -2.5472291299 0.7632760968 -1.3242484527
H -2.5630108444 -0.8035705386 -1.2535115093
O 3.1899575969 -0.3236319816 -0.4687036369
H 1.8755409681 -0.4831099425 1.5930678640
H -0.8786247790 -2.5779254666 0.8643590092
H 0.0446302349 -2.6885428030 -0.3877309692
H 3.8748151856 0.3663255557 -0.3387013936
IRC = 11.681019
Fe -0.2136160453 0.0343672095 0.1068493295
O -1.4441691760 0.2234521064 1.8136920885
O 0.8516365851 -0.1211619631 -1.6369253042
O -0.4075495597 2.1298871477 -0.2376209752
O 1.2687942439 0.0768373788 1.0888007185
O -2.1022944085 -0.0121567235 -0.9461644107
O -0.5508463640 -2.0898944264 0.0962235388
H -0.5179859808 2.7540126560 0.4961235761
H 0.1433212371 2.5704182581 -0.9025214407
H 0.6392013386 -0.2353512781 -2.5732447930
H 1.8344536273 -0.1705221194 -1.4737170541
H -1.0894427584 0.3214981450 2.7102308172
H -2.4103716780 0.2783081559 1.8559790727
H -2.5403493066 0.7576774003 -1.3376388387
H -2.5547324238 -0.8091538189 -1.2586498256
O 3.2231777779 -0.3309446948 -0.4981303457
H 1.8992021507 -0.4588734445 1.5894648204
H -0.8774583379 -2.5759183494 0.8686473454
H 0.0411458411 -2.6873402846 -0.3858938764
H 3.9546601595 0.3191250650 -0.4273196393
IRC = 12.183885
Fe -0.2156054083 0.0359574416 0.1135704877
O -1.4568292794 0.2244817571 1.8119293823
O 0.8540312416 -0.1201320379 -1.6324274300
O -0.4157855507 2.1317964872 -0.2362435353
O 1.2545356422 0.0778800574 1.1056594486
O -2.0948697405 -0.0148371197 -0.9563368233
O -0.5562846470 -2.0900803684 0.0966937237
H -0.5321516767 2.7544186074 0.4978459964
H 0.1428353967 2.5732211846 -0.8939745473
H 0.6332811151 -0.2307382900 -2.5672598914
H 1.8367276197 -0.1721780789 -1.4815563511
H -1.1031586938 0.3173957229 2.7094361902
H -2.4229765762 0.2800670075 1.8525389443
H -2.5339259894 0.7531179028 -1.3502005694
H -2.5482106140 -0.8136039900 -1.2627425260
O 3.2560452137 -0.3364926630 -0.5255385123
H 1.9278024492 -0.4309575762 1.5771460331
H -0.8744398251 -2.5735835577 0.8742147045
H 0.0370031573 -2.6868456770 -0.3844918384
H 4.0358429763 0.2594726816 -0.5257011692
IRC = 12.683789
Fe -0.2179670143 0.0372850300 0.1196370100
O -1.4681085147 0.2254051467 1.8104671197
O 0.8568856622 -0.1198638830 -1.6284086714
O -0.4232521818 2.1337837414 -0.2348596562
O 1.2396050060 0.0783151376 1.1226653141
O -2.0880357108 -0.0167831915 -0.9659960428
O -0.5614445500 -2.0904711027 0.0973558340
H -0.5450638950 2.7544924433 0.4999536183
H 0.1430589345 2.5762713582 -0.8851884454
H 0.6280956089 -0.2262105629 -2.5618229238
H 1.8393419086 -0.1748492938 -1.4895963813
H -1.1140777136 0.3124908267 2.7084425562
H -2.4341165889 0.2820294867 1.8508417120
H -2.5279085666 0.7495594242 -1.3619392186
H -2.5431731647 -0.8169789927 -1.2657770126
O 3.2880212746 -0.3396640029 -0.5505131272
H 1.9619221170 -0.3972390101 1.5541520541
H -0.8695047629 -2.5710796574 0.8807228523
H 0.0318373736 -2.6868452685 -0.3841171199
H 4.1141715101 0.1846584348 -0.6297746310
IRC = 13.186234
Fe -0.2206566414 0.0383873912 0.1253194856
O -1.4781467005 0.2262170928 1.8093833318
O 0.8601304908 -0.1203937055 -1.6246135569
O -0.4303048532 2.1359186305 -0.2336241820
O 1.2246716349 0.0777606190 1.1394742347
O -2.0813623393 -0.0180561900 -0.9755066110
O -0.5667710054 -2.0910292880 0.0980865662
H -0.5571880408 2.7544881242 0.5021248690
H 0.1436283438 2.5795337379 -0.8763970997
H 0.6233407628 -0.2218498226 -2.5566142777
H 1.8422670331 -0.1791561391 -1.4977852858
H -1.1227690172 0.3068402863 2.7074862578
H -2.4439643067 0.2839925946 1.8505668507
H -2.5220129693 0.7468588606 -1.3732250796
H -2.5390392949 -0.8194374547 -1.2680428329
O 3.3191710417 -0.3401810252 -0.5735314236
H 2.0011661531 -0.3539111684 1.5196838879
H -0.8625593407 -2.5685377392 0.8880696978
H 0.0253189410 -2.6870572183 -0.3850612388
H 4.1864077132 0.0911685932 -0.7344664992
IRC = 13.690506
Fe -0.2236711575 0.0392426738 0.1307958791
O -1.4870747552 0.2268911278 1.8087624676
O 0.8636900104 -0.1217632119 -1.6206335354
O -0.4372056649 2.1382458758 -0.2326076303
O 1.2106500100 0.0758961320 1.1555740246
O -2.0744386783 -0.0186320323 -0.9852533485
O -0.5727200016 -2.0916830561 0.0989743175
H -0.5691464140 2.7546154051 0.5040928738
H 0.1442125129 2.5830735868 -0.8677228203
H 0.6192378135 -0.2177524892 -2.5512881059
H 1.8454886531 -0.1846054599 -1.5052822719
H -1.1299106169 0.3007171714 2.7068306157
H -2.4527055108 0.2854613828 1.8513363554
H -2.5159263438 0.7450388470 -1.3843476729
H -2.5352409630 -0.8209865041 -1.2700393363
O 3.3495886421 -0.3380541934 -0.5955217814
H 2.0426425803 -0.2973171783 1.4755320710
H -0.8536763696 -2.5661539107 0.8962010948
H 0.0171872768 -2.6870784628 -0.3874102316
H 4.2484781801 -0.0200147178 -0.8303155324
IRC = 14.192211
Fe -0.2270033502 0.0397760421 0.1362327439
O -1.4951854303 0.2273461882 1.8087130639
O 0.8676555668 -0.1239660588 -1.6157913161
O -0.4441714874 2.1407213043 -0.2317640504
O 1.1984843338 0.0727470321 1.1703476337
O -2.0667595815 -0.0184292453 -0.9957982123
O -0.5797633513 -2.0922539173 0.1003200355
H -0.5819864509 2.7550389183 0.5055752463
H 0.1443965933 2.5870516279 -0.8591737846
H 0.6162793380 -0.2136730026 -2.5452900428
H 1.8492167451 -0.1906645489 -1.5109786866
H -1.1364566717 0.2947407873 2.7067788375
H -2.4607240633 0.2854396395 1.8527283865
H -2.5091710003 0.7443016296 -1.3956174603
H -2.5311245182 -0.8214771831 -1.2727214790
O 3.3793476533 -0.3337923151 -0.6179362386
H 2.0807066410 -0.2262699186 1.4281151061
H -0.8434406079 -2.5642535422 0.9049330521
H 0.0072083757 -2.6863212726 -0.3910717239
H 4.2973679779 -0.1418378683 -0.9090815454
IRC = 14.693509
Fe -0.2306597190 0.0398619143 0.1419239602
O -1.5032613789 0.2274023142 1.8093636574
O 0.8724364617 -0.1272228746 -1.6089541057
O -0.4515507872 2.1431607445 -0.2308327430
O 1.1887213517 0.0688789933 1.1833465846
O -2.0574908667 -0.0171967783 -1.0082727834
O -0.5886732425 -2.0923812257 0.1027995221
H -0.5979591019 2.7558256697 0.5062258818
H 0.1440152930 2.5916706936 -0.8500413235
H 0.6154861194 -0.2091747729 -2.5377004427
H 1.8540312584 -0.1967034846 -1.5131224064
H -1.1438206117 0.2896805998 2.7076308103
H -2.4689106080 0.2823510655 1.8543951409
H -2.5006309194 0.7452536460 -1.4077889863
H -2.5259775463 -0.8203648368 -1.2778308949
O 3.4092240002 -0.3283259390 -0.6432482856
H 2.1090733622 -0.1439996840 1.3888381702
H -0.8332996559 -2.5630088773 0.9142724039
H -0.0055441071 -2.6842775075 -0.3956847053
H 4.3328656827 -0.2607649902 -0.9698537815
IRC = 15.191313
Fe -0.2341942418 0.0393370059 0.1480116056
O -1.5128130208 0.2267422753 1.8103973632
O 0.8788729944 -0.1319584442 -1.5984096140
O -0.4593903822 2.1448732050 -0.2291112842
O 1.1814778449 0.0659565759 1.1941622546
O -2.0456834036 -0.0145218259 -1.0239399119
O -0.6000244335 -2.0914474933 0.1077347801
H -0.6201939223 2.7562805701 0.5059814028
H 0.1445862548 2.5966290236 -0.8377580884
H 0.6188448660 -0.2047511843 -2.5270873488
H 1.8609851597 -0.2025675657 -1.5085514423
H -1.1545582564 0.2866059186 2.7093732182
H -2.4788376627 0.2750461987 1.8550294514
H -2.4877804125 0.7490073839 -1.4225078278
H -2.5192424878 -0.8165298993 -1.2880345531
O 3.4385525398 -0.3229532115 -0.6745345462
H 2.1211541197 -0.0682178342 1.3778052055
H -0.8278996157 -2.5618745585 0.9242435748
H -0.0218329815 -2.6813778535 -0.3988130237
H 4.3560162858 -0.3503927658 -1.0234494448
IRC = 15.689427
Fe -0.2363129154 0.0383212980 0.1539475500
O -1.5253642419 0.2252903551 1.8097884976
O 0.8868306352 -0.1380375369 -1.5844680732
O -0.4661335980 2.1452510255 -0.2256492252
O 1.1754353292 0.0654994337 1.2044029508
O -2.0319638687 -0.0106592186 -1.0414996045
O -0.6122169231 -2.0895218173 0.1158643685
H -0.6476895089 2.7547102001 0.5062096176
